taxa	determinant	coefficient	stdev	pvalue	formula	method	n	freq
t12	Technical.dna_conc	-0.05536846675582164	0.06713862824806367	0.18573920588649837	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t120	(Intercept)	5.31768259122238	0.08416696913512488	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t120	General.Age	-0.3361742775780698	0.07534287401833431	2.142941731821906e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t120	Reproductive.haschildrenTRUE	0.19672330773595134	0.1560457916509912	0.030123463141423314	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t120	Technical.dna_conc	-0.15406705946355514	0.06191690343561639	1.9081318091152863e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t121	(Intercept)	5.317647864079817	0.08416760101389728	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t121	General.Age	-0.33625856825600287	0.07534752768950208	2.084757471013327e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t121	Reproductive.haschildrenTRUE	0.19826635560206046	0.15605676771260088	0.028821855368301185	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t121	Technical.dna_conc	-0.1541307530166024	0.06191968290889333	1.8846271979316146e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t122	(Intercept)	5.318592435321087	0.08417285811250794	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t122	General.Age	-0.3359594214998705	0.07534764629595118	2.1951506068896414e-14	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t122	Reproductive.haschildrenTRUE	0.19564445412740475	0.1560507550306425	0.030994495728411384	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t122	Technical.dna_conc	-0.15411181550429623	0.06191947159180496	1.8884279033271302e-5	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
t123	(Intercept)	5.31768259122238	0.08416696913512488	0	~Reproductive.haschildren + Technical.dna_conc + General.Age	limmaVoom	3043	FALSE:1913, TRUE:1130
